ur_id,block,rating,lastKeypress,RPAmp,id,burstcount,betamedian,betamean,startlast,endlast,amplast,durlast
4,1,6,2.31042284815339,43.2523612976074,4,1,1.97360742092133,1.97312653064728,40,46,2.61805963516235,7
4,1,2,3.03167597664287,-41.1965484619141,4,0,1.82826745510101,1.80643844604492,250,250,1.07564294338226,1
4,1,5,2.79127808604972,0.124769665300846,4,1,2.33289551734924,2.33594822883606,19,27,2.20141553878784,9
4,1,1,2.05104204424424,14.8089189529419,4,1,1.91107082366943,2.01908469200134,132,138,2.11175322532654,7
4,1,3,2.21835280730738,-9.29630279541016,4,3,2.20699214935303,2.16252875328064,24,31,1.8226273059845,8
4,1,5,3.13773741916521,-26.9991722106934,4,3,2.40956473350525,2.46894669532776,222,228,2.05595207214355,7
4,1,2,2.02145112329163,-5.65833187103271,4,0,2.01619577407837,1.91146516799927,250,250,2.72482872009277,1
4,1,7,3.47922388042207,-16.8921661376953,4,1,1.90136051177979,2.00974225997925,24,37,3.91431570053101,14
4,1,1,2.88832595341955,-9.27395820617676,4,2,1.94422936439514,2.06134390830994,127,138,2.60450959205627,12
4,1,7,2.30975256324746,45.053596496582,4,1,2.31827139854431,2.34647130966187,177,195,3.14047074317932,19
4,1,6,3.455339228909,-19.0279903411865,4,2,2.37591743469238,2.39614725112915,72,82,4.16819000244141,11
4,1,7,3.75097522806027,-26.1052207946777,4,5,2.5925714969635,2.62394094467163,227,242,3.39057040214539,16
4,1,6,2.53225920235855,-11.8898792266846,4,5,2.62585520744324,2.74506521224976,201,209,4.82283782958984,9
4,2,4,3.26976703549735,-26.854513168335,4,0,1.68502759933472,1.78626728057861,250,250,1.38224375247955,1
4,2,4,2.76959527630243,-80.2886276245117,4,0,1.81638514995575,1.77412712574005,250,250,2.34601020812988,1
4,2,6,2.89565638441127,-22.8077049255371,4,0,1.76992869377136,1.83360469341278,250,250,2.35735559463501,1
4,2,6,3.60389003608725,17.4770374298096,4,2,2.32338523864746,2.37855243682861,176,180,3.02744317054749,5
4,2,5,3.36137346853502,25.0082492828369,4,1,2.26075196266174,2.3272716999054,172,180,2.685471534729,9
4,2,7,4.28525849743164,14.0624446868896,4,4,2.1838219165802,2.3923351764679,141,148,3.12181067466736,8
4,2,6,3.62125480396207,-9.42193603515625,4,2,2.19701552391052,2.34668660163879,225,242,2.03512287139893,18
4,2,5,3.391426817514,-4.87757587432861,4,0,1.98305201530457,1.98497784137726,250,250,1.60226321220398,1
4,2,4,4.06708641466685,20.1418266296387,4,2,2.15299773216248,2.24182415008545,168,175,2.16974210739136,8
4,2,4,2.11918992025312,3.98539805412292,4,4,2.33451080322266,2.33520603179932,178,185,2.46447658538818,8
4,2,0,2.8083520665532,-10.1715621948242,4,4,2.58291864395142,2.54357171058655,209,217,2.42553758621216,9
4,2,3,5.74926507007331,-1.89634299278259,4,5,2.53928351402283,2.6558940410614,135,136,3.4195613861084,2
4,2,5,6.27457782198326,64.0347747802734,4,3,2.12293457984924,2.28222918510437,176,189,3.49616765975952,14
4,2,3,2.28726829114021,-21.5777015686035,4,1,2.28387236595154,2.28239488601685,188,201,2.4910774230957,14
4,2,1,2.08619732098305,17.2005252838135,4,4,3.08424806594849,3.14305758476257,170,182,3.46586775779724,13
4,2,3,2.66830474778544,-2.08469033241272,4,2,2.21772527694702,2.40907955169678,140,163,2.35617232322693,24
4,2,6,3.90085563450702,-19.0088844299316,4,5,3.43318462371826,3.22072339057922,126,197,4.73232650756836,72
4,2,0,3.98432321345899,-22.5033512115479,4,4,2.59076762199402,2.52021050453186,227,232,1.74832391738892,6
4,2,5,2.25038032364682,18.5975303649902,4,3,2.48159432411194,2.58751249313354,154,167,1.91718292236328,14
4,2,5,3.7463855103997,17.0746612548828,4,5,3.52219271659851,3.75323033332825,138,230,7.68127965927124,93
4,3,5,2.83642912493087,59.7512893676758,4,4,2.67979073524475,2.73882246017456,175,203,3.21903204917908,29
4,3,0,2.54710538894869,18.6729183197021,4,3,2.3174877166748,2.50117754936218,200,217,2.83711266517639,18
4,3,3,2.29516307206359,-13.53209400177,4,0,1.55378472805023,1.62194466590881,250,250,0.947185039520264,1
4,3,1,2.03197962208651,67.3166046142578,4,4,2.47068667411804,2.5503466129303,227,232,3.41878962516785,6
4,3,7,3.52311645532609,53.1064147949219,4,4,2.31153464317322,2.54504632949829,217,239,3.94530439376831,23
4,3,5,2.31082593926112,-13.8157739639282,4,2,1.95360207557678,2.09320950508118,74,91,3.46933817863464,18
4,3,7,6.98256669405964,11.1797313690186,4,1,1.73033714294434,1.83831536769867,246,250,1.68681991100311,5
4,3,7,4.73997533629881,1.23465430736542,4,0,1.5746955871582,1.70655381679535,250,250,1.17191183567047,1
4,3,6,3.57368156118901,20.3764781951904,4,1,2.08529996871948,2.13496780395508,109,119,1.91839218139648,11
4,3,6,2.92667375414749,-12.2831315994263,4,0,1.82491588592529,1.98390626907349,250,250,2.51850628852844,1
4,3,0,2.54815104231238,-23.2522010803223,4,4,3.59572386741638,3.44384241104126,236,249,4.46687889099121,14
4,3,1,2.07108193571912,-19.0926609039307,4,6,3.15922117233276,3.58692622184753,220,235,2.04205799102783,16
4,3,1,2.24145640345523,-24.1661586761475,4,5,3.07501649856567,3.42838025093079,210,230,7.62374591827393,21
4,3,7,3.363353888446,12.9217967987061,4,4,2.51207160949707,2.59969639778137,228,242,3.05598831176758,15
4,4,7,2.28210419457173,6.85427284240723,4,0,1.55184924602509,1.61573624610901,250,250,0.581388831138611,1
