ur_id,block,rating,lastKeypress,RPAmp,id,burstcount,betamedian,betamean,startlast,endlast,amplast,durlast
4,1,6,2.31042284815339,43.2523612976074,4,0,1.87352085113525,1.8888053894043,250,250,1.99824500083923,1
4,1,2,3.03167597664287,-41.1965484619141,4,0,1.8408910036087,1.76314294338226,250,250,0.716831982135773,1
4,1,5,2.79127808604972,0.124769665300846,4,2,2.4868540763855,2.46281552314758,153,158,3.45554280281067,6
4,1,1,2.05104204424424,14.8089189529419,4,1,2.10718584060669,2.2384946346283,9,24,3.29319429397583,16
4,1,3,2.21835280730738,-9.29630279541016,4,1,2.32817506790161,2.25067067146301,113,119,2.56210708618164,7
4,1,5,3.13773741916521,-26.9991722106934,4,3,2.24400520324707,2.40220069885254,222,227,2.15340113639832,6
4,1,2,2.02145112329163,-5.65833187103271,4,1,2.04450416564941,2.018803358078,107,108,2.43752670288086,2
4,1,7,3.47922388042207,-16.8921661376953,4,1,1.89273607730865,2.02820730209351,25,35,3.04826855659485,11
4,1,1,2.88832595341955,-9.27395820617676,4,3,2.25361227989197,2.39974308013916,131,133,2.16930103302002,3
4,1,7,2.30975256324746,45.053596496582,4,3,2.25335288047791,2.19409513473511,158,166,1.32865953445435,9
4,1,6,3.455339228909,-19.0279903411865,4,1,2.43488025665283,2.42693400382996,22,40,2.14259958267212,19
4,1,7,3.75097522806027,-26.1052207946777,4,3,2.74082565307617,2.67241096496582,227,239,2.99853110313416,13
4,1,6,2.53225920235855,-11.8898792266846,4,5,3.02774715423584,3.07328724861145,122,174,4.80903005599976,53
4,2,4,3.26976703549735,-26.854513168335,4,0,1.83810663223267,1.91455912590027,250,250,1.94656419754028,1
4,2,4,2.76959527630243,-80.2886276245117,4,0,1.88813126087189,1.9087198972702,250,250,1.91830217838287,1
4,2,6,2.89565638441127,-22.8077049255371,4,1,1.99231588840485,2.12883710861206,145,161,1.92952525615692,17
4,2,6,3.60389003608725,17.4770374298096,4,1,2.34222483634949,2.52649259567261,84,110,2.61196231842041,27
4,2,5,3.36137346853502,25.0082492828369,4,1,2.60115671157837,2.57630825042725,168,175,3.18606686592102,8
4,2,7,4.28525849743164,14.0624446868896,4,2,2.03350734710693,2.2162618637085,55,70,3.50068736076355,16
4,2,6,3.62125480396207,-9.42193603515625,4,2,2.288006067276,2.38150882720947,228,237,1.8168169260025,10
4,2,5,3.391426817514,-4.87757587432861,4,1,1.86262726783752,1.88976168632507,144,149,1.88688170909882,6
4,2,4,4.06708641466685,20.1418266296387,4,1,2.29053235054016,2.30562520027161,233,244,2.13936853408813,12
4,2,4,2.11918992025312,3.98539805412292,4,4,2.58998942375183,2.61539435386658,175,184,2.99863028526306,10
