id,cond,rt
3,1,0.578125
3,1,0.57421875
3,1,0.4765625
3,1,0.5
3,1,0.43359375
3,1,0.40234375
3,1,0.50390625
3,1,0.8984375
3,1,0.6328125
3,1,0.44921875
3,1,0.68359375
3,1,0.5
3,1,0.8203125
3,1,0.51953125
3,1,0.5
3,1,0.58203125
3,1,0.3515625
3,1,0.44140625
3,1,0.39453125
3,1,0.44140625
3,1,0.61328125
3,1,0.61328125
3,1,0.50390625
3,1,0.45703125
3,1,0.41015625
3,1,0.5
3,1,0.47265625
3,1,0.4453125
3,1,0.6640625
3,1,0.4609375
3,1,0.6171875
3,1,0.57421875
3,1,0.6015625
3,1,0.42578125
3,1,0.70703125
3,1,0.4453125
3,1,0.36328125
3,1,0.61328125
3,1,0.5390625
3,1,0.43359375
3,1,0.42578125
3,1,0.54296875
3,1,0.6171875
3,1,0.5390625
3,1,0.80078125
3,1,0.56640625
3,1,0.37109375
3,1,0.5546875
3,1,0.4375
3,1,0.53515625
3,1,0.4296875
3,1,0.375
3,1,0.421875
3,1,0.63671875
3,1,0.578125
3,1,0.65625
3,1,0.53515625
3,1,0.453125
3,1,0.47265625
3,1,0.53515625
3,1,0.80078125
3,1,0.671875
3,1,0.46484375
3,2,999
3,2,999
3,2,999
3,2,999
3,2,999
3,2,999
3,2,999
3,2,999
3,2,999
3,2,999
3,2,999
3,2,999
3,2,999
3,2,999
3,2,999
3,2,999
3,2,999
3,2,999
3,2,999
3,2,999
3,2,999
3,2,999
3,2,999
3,2,999
3,2,999
3,2,999
3,2,999
3,2,999
3,2,999
3,2,999
3,2,999
3,2,999
3,2,999
3,2,999
3,2,999
3,2,999
3,2,999
3,2,999
3,2,999
3,2,999
3,2,999
3,2,999
3,2,999
3,2,999
3,2,999
3,2,999
3,2,999
3,2,999
3,2,999
3,2,999
3,2,999
3,2,999
3,2,999
3,2,999
3,2,999
3,2,999
3,2,999
3,2,999
3,2,999
3,2,999
3,2,999
3,2,999
3,2,999
3,2,999
3,2,999
3,2,999
3,2,999
3,2,999
3,2,999
3,2,999
3,2,999
3,2,999
3,2,999
3,2,999
3,2,999
3,2,999
3,2,999
3,2,999
3,2,999
3,2,999
3,2,999
3,2,999
3,2,999
3,2,999
3,2,999
3,2,999
3,2,999
3,2,999
3,2,999
3,2,999
3,2,999
3,2,999
3,2,999
3,2,999
3,2,999
3,2,999
3,2,999
3,2,999
3,2,999
3,2,999
3,2,999
3,2,999
3,2,999
3,2,999
3,2,999
3,2,999
3,2,999
3,2,999
3,2,999
3,2,999
3,2,999
3,2,999
3,2,999
3,2,999
3,2,999
3,2,999
3,2,999
3,2,999
3,2,999
3,2,999
3,2,999
3,2,999
3,2,999
3,2,999
3,2,999
3,2,999
3,2,999
3,2,999
3,2,999
3,2,999
3,2,999
3,2,999
3,2,999
3,2,999
3,3,0.140625
3,3,1.015625
3,3,1.71484375
3,3,1.578125
3,3,2.23046875
3,3,1.4140625
3,3,1.33984375
3,3,1.359375
3,3,2.12890625
3,3,1.35546875
3,3,1.203125
3,3,0.83203125
3,3,1.46875
3,3,2.1953125
3,3,1.91796875
3,3,0.85546875
3,3,1.203125
3,3,0.87890625
3,3,0.23046875
3,3,1.4140625
3,3,1.54296875
3,3,2.0234375
3,3,1.5390625
3,3,2.09375
3,3,1.8046875
3,3,1.44140625
3,3,1.078125
3,3,1.296875
3,3,0.22265625
3,3,0.50390625
3,3,0.41015625
3,3,0.140625
3,3,0.09375
3,3,0.59375
3,3,0.75
3,3,0.53515625
4,1,0.61328125
4,1,0.5625
4,1,0.7109375
4,1,0.8203125
4,1,0.8828125
4,1,0.66015625
4,1,0.85546875
4,1,0.6015625
4,1,0.65625
4,1,1.13671875
4,1,0.515625
4,1,1.0234375
4,1,0.80078125
4,1,0.53125
4,1,0.64453125
4,2,999
4,2,999
4,2,999
4,2,999
4,2,999
4,2,999
4,2,999
4,2,999
4,2,999
4,2,999
4,2,999
4,2,999
4,2,999
4,2,999
4,2,999
4,2,999
4,2,999
4,2,999
4,2,999
4,2,999
4,2,999
4,2,999
4,2,999
4,2,999
4,2,999
4,2,999
4,2,999
4,2,999
4,2,999
4,2,999
4,2,999
4,2,999
4,2,999
4,2,999
4,2,999
4,2,999
4,2,999
4,2,999
4,2,999
4,2,999
4,3,0.76953125
4,3,1.55859375
4,3,0.71875
4,3,1.33203125
4,3,1.671875
4,3,2.00390625
4,3,1.37890625
4,3,0.234375
4,3,0.51953125
4,3,1.71875
4,3,1.05078125
4,3,0.921875
4,3,0.98046875
4,3,1.35546875
4,3,1.19921875
4,3,0.9765625
4,3,0.4296875
4,3,1.33203125
4,3,0.8984375
4,3,0.97265625
4,3,1.4453125
4,3,1.1875
4,3,1.37109375
4,3,1.93359375
4,3,0.078125
4,3,1.13671875
4,3,1.33203125
4,3,1.17578125
4,3,0.82421875
4,3,1.25390625
4,3,1.33984375
4,3,1.3046875
4,3,0.97265625
4,3,0.1953125
4,3,1.16015625
4,3,1.91015625
4,3,1.50390625
4,3,1.02734375
4,3,1.00390625
4,3,1.21875
4,3,1.28125
4,3,1.54296875
4,3,1.21484375
4,3,1.01171875
4,3,1.37109375
4,3,0.921875
4,3,1.39453125
4,3,0.28515625
4,3,1.73046875
4,3,1.21875
4,3,1.42578125
4,3,0.0859375
4,3,1.5625
4,3,1.390625
4,3,0.8828125
4,3,1.75
4,3,1.18359375
4,3,0.859375
4,3,1.00390625
4,3,1.375
4,3,1.05859375
4,3,1.10546875
4,3,1.08984375
4,3,0.19140625
4,3,1.2578125
4,3,1.93359375
4,3,1.0625
4,3,1.2265625
4,3,1.72265625
4,3,1.72265625
4,3,1.3671875
4,3,1.4375
4,3,1.859375
4,3,1.58984375
4,3,1.20703125
4,3,1.640625
4,3,1.5546875
4,3,2.140625
4,3,1.984375
4,3,0.9765625
4,3,1.03515625
4,3,0.89453125
4,3,0.76171875
4,3,1.1484375
4,3,1.796875
4,3,1.1328125
4,3,1.53515625
4,3,1.57421875
4,3,1.06640625
4,3,1.140625
4,3,1.46875
4,3,1.17578125
4,3,0.15234375
4,3,0.09765625
4,3,1.3984375
4,3,1.25
4,3,1.12890625
4,3,1.453125
4,3,0.1640625
4,3,1.390625
4,3,1.19140625
4,3,1.0078125
4,3,0.140625
4,3,1.78125
4,3,1.23046875
4,3,1.67578125
4,3,1.1953125
4,3,0.7578125
4,3,1.3828125
4,3,0.9375
4,3,1.71484375
4,3,0.9296875
4,3,1.98828125
4,3,1.5
4,3,2.15234375
4,3,0.84375
4,3,0.9296875
4,3,2.22265625
4,3,1.25
4,3,1.4296875
4,3,1.8203125
4,3,0.93359375
4,3,1.1171875
4,3,1.296875
4,3,1.20703125
4,3,0.83203125
4,3,0.85546875
4,3,0.9375
4,3,1.06640625
4,3,0.98828125
4,3,1.16015625
4,3,1.06640625
4,3,1.9140625
4,3,0.8984375
4,3,1.17578125
4,3,0.265625
4,3,0.73828125
4,3,1.1875
4,3,0.9609375
4,3,0.9765625
4,3,0.1015625
4,3,1.8828125
4,3,1.828125
4,3,0.0078125
4,3,1.38671875
5,1,0.40234375
5,1,0.79296875
5,1,1.09765625
5,1,0.76953125
5,1,0.25
5,1,1.08984375
5,1,0.609375
5,1,0.30859375
5,1,0.546875
5,1,0.33984375
5,1,0.37109375
5,1,0.64453125
5,1,0.37890625
5,1,0.55078125
5,1,0.41015625
5,1,0.53515625
5,2,999
5,2,999
5,2,999
5,2,999
5,2,999
5,2,999
5,2,999
5,2,999
5,2,999
5,2,999
5,2,999
5,2,999
5,2,999
5,2,999
5,2,999
5,2,999
5,2,999
5,2,999
5,2,999
5,2,999
5,2,999
5,2,999
5,2,999
5,2,999
5,2,999
5,2,999
5,2,999
5,2,999
5,2,999
5,2,999
5,2,999
5,2,999
5,2,999
5,2,999
5,2,999
5,2,999
5,2,999
5,2,999
5,2,999
5,2,999
5,2,999
5,2,999
5,2,999
5,2,999
5,2,999
5,2,999
5,2,999
5,2,999
5,2,999
5,2,999
5,2,999
5,2,999
5,2,999
5,2,999
5,2,999
5,2,999
5,2,999
5,2,999
5,2,999
5,2,999
5,2,999
5,2,999
5,2,999
5,2,999
5,2,999
5,2,999
5,2,999
5,2,999
5,2,999
5,2,999
5,2,999
5,2,999
5,2,999
5,2,999
5,2,999
5,2,999
5,2,999
5,2,999
5,2,999
5,2,999
5,2,999
5,2,999
5,2,999
5,2,999
5,2,999
5,2,999
5,2,999
5,2,999
5,2,999
5,2,999
5,2,999
5,2,999
5,2,999
5,2,999
5,2,999
5,2,999
5,2,999
5,2,999
5,2,999
5,2,999
5,2,999
5,2,999
5,2,999
5,2,999
5,2,999
5,2,999
5,2,999
5,2,999
5,2,999
5,2,999
5,2,999
5,2,999
5,2,999
5,2,999
5,2,999
5,2,999
5,2,999
5,2,999
5,2,999
5,2,999
5,2,999
5,2,999
5,2,999
5,2,999
5,2,999
5,2,999
5,2,999
5,2,999
5,2,999
5,2,999
5,2,999
5,2,999
5,2,999
5,2,999
5,2,999
5,2,999
5,2,999
5,2,999
5,2,999
5,2,999
5,2,999
5,2,999
5,3,0.125
5,3,1.76171875
5,3,1.96875
5,3,1.75390625
5,3,1.60546875
5,3,0.80859375
5,3,1.44140625
5,3,0.5625
5,3,0.84765625
5,3,1.953125
5,3,1.6640625
5,3,1.55078125
5,3,1.68359375
5,3,1.70703125
5,3,1.30859375
5,3,1.69140625
5,3,2.21875
5,3,2.1484375
5,3,1.25390625
5,3,0.1015625
5,3,1.484375
5,3,1.73046875
5,3,0.20703125
5,3,1.3125
5,3,1.546875
5,3,0.875
5,3,1.44921875
5,3,0.83984375
5,3,1.11328125
5,3,1.828125
5,3,1.6796875
5,3,0.8046875
5,3,1.80859375
5,3,0.1953125
5,3,1.0546875
5,3,1.41796875
5,3,1.6171875
5,3,1.73046875
5,3,2.15625
5,3,1.51171875
5,3,2.17578125
5,3,1.62890625
5,3,1.7734375
5,3,0.20703125
5,3,2.0546875
5,3,1.5234375
5,3,1.96875
5,3,1.45703125
5,3,1.13671875
5,3,1.40234375
5,3,2.0703125
5,3,0.546875
5,3,0.0234375
5,3,1.8671875
5,3,1.640625
5,3,1.54296875
5,3,0.33203125
5,3,1.52734375
5,3,1.42578125
5,3,2.046875
5,3,1.26953125
5,3,0.14453125
5,3,1.8046875
5,3,2.359375
6,1,0.37890625
6,1,0.6953125
