id,cond,burstcount,betamedian,betamean,endlast,amplast
1,1,4,1.87890410423279,2.01775121688843,261,1.79213130474091
1,1,0,1.60886526107788,1.62330758571625,499,1.12386786937714
1,1,6,1.73293542861938,2.01383352279663,319,4.4331111907959
1,1,6,1.68567562103271,1.82066297531128,463,1.25620365142822
1,1,5,1.581387758255,1.89506542682648,498,1.97164964675903
1,1,4,1.57364678382874,1.70791184902191,454,3.02431130409241
1,1,5,1.93990969657898,2.09693670272827,350,1.62775731086731
1,1,5,1.89014232158661,2.01074576377869,235,2.29646348953247
1,1,3,1.65263533592224,1.79090702533722,314,1.93949866294861
1,1,5,1.71038031578064,1.82069098949432,145,2.81113862991333
1,1,4,1.91702735424042,1.94629693031311,308,3.04313969612122
1,1,8,2.23031091690063,2.24607086181641,385,3.09559297561646
1,1,2,1.49094820022583,1.57148325443268,6,3.48514032363892
1,1,7,1.94685924053192,2.05911898612976,415,1.97984290122986
1,1,7,2.15258693695068,2.20889759063721,454,1.56579208374023
1,1,4,1.77381587028503,1.90807974338531,349,1.97603356838226
1,1,1,1.76656293869019,1.82501673698425,499,1.42115342617035
1,1,5,1.86373245716095,1.92175900936127,409,2.0354905128479
1,1,4,1.49070906639099,1.56313705444336,119,2.49308824539185
1,1,4,1.89847135543823,1.911003947258,358,1.61604070663452
1,1,3,1.61557114124298,1.69527494907379,484,1.66922163963318
1,1,4,1.73959374427795,1.86476624011993,294,1.15626049041748
1,1,8,2.43178105354309,2.5596776008606,486,3.76019525527954
1,1,5,2.00255346298218,2.05197930335999,405,2.76054525375366
1,1,6,2.41428780555725,2.54874801635742,432,3.31517696380615
1,1,4,1.78465032577515,1.84149301052094,407,2.65851855278015
1,1,4,1.55107450485229,1.81666827201843,492,1.99818396568298
1,1,9,2.644615650177,2.38855934143066,416,2.87314319610596
1,1,7,2.07651424407959,2.19685482978821,434,3.62918996810913
1,1,3,1.62411308288574,1.77056133747101,294,2.11993551254272
1,1,8,2.04203224182129,2.1400682926178,358,1.9148645401001
1,1,3,1.51263642311096,1.66497445106506,360,2.38056588172913
1,1,3,1.6063449382782,1.66482198238373,365,2.678142786026
1,1,6,1.9758129119873,2.09114503860474,476,2.10024309158325
1,1,9,2.47876739501953,2.56118202209473,490,1.81683921813965
1,1,5,1.88425469398499,1.99817228317261,355,2.4162802696228
1,1,4,1.93054676055908,2.03662133216858,182,3.01135659217834
1,1,3,1.77324390411377,1.88380420207977,480,2.38521313667297
1,1,6,1.8004401922226,1.90760111808777,444,1.83324408531189
1,1,7,2.15481567382812,2.36447525024414,483,2.17837381362915
1,1,6,1.7888298034668,1.98873710632324,465,3.16804909706116
1,1,6,1.79695844650269,1.78217113018036,486,1.00559461116791
1,1,1,1.60268044471741,1.66326355934143,494,2.34200954437256
1,1,3,1.89730215072632,1.95114278793335,391,1.94911015033722
1,1,4,1.78084528446198,1.9068511724472,315,2.22019195556641
1,1,8,2.2177746295929,2.34679293632507,488,1.58239603042603
1,1,1,1.4989218711853,1.5765585899353,499,1.07539570331573
1,1,1,1.35916471481323,1.46210694313049,291,1.45375525951385
1,1,2,1.72607135772705,1.77354979515076,335,1.70596718788147
1,1,4,1.98244190216064,1.93069076538086,409,2.40225291252136
1,1,4,1.75123834609985,1.86948978900909,476,1.73679375648499
1,1,6,1.88326835632324,2.01613426208496,226,3.28036046028137
1,1,3,1.76397681236267,1.78107714653015,460,1.82041466236115
1,1,10,2.41203498840332,2.47782444953918,470,2.92066621780396
1,1,5,1.961989402771,1.981290102005,387,1.48820853233337
1,1,4,1.56617975234985,1.72961258888245,452,1.11597740650177
1,1,5,2.06405735015869,2.24219083786011,229,5.12584638595581
1,1,9,2.18793606758118,2.16762328147888,431,2.53085541725159
1,1,4,1.59062457084656,1.73877418041229,286,1.9120717048645
1,1,7,2.22595977783203,2.21359896659851,422,1.61028909683228
1,1,5,1.82673954963684,1.94992899894714,195,3.24446558952332
1,1,4,1.83966755867004,1.90902578830719,169,2.37360382080078
1,1,4,1.57800686359406,1.77839267253876,361,3.80439209938049
1,1,2,1.75649738311768,1.7881224155426,9,3.43745994567871
1,1,4,1.83294808864594,1.93632650375366,413,2.19313907623291
