id,cond,burstcount,betamedian,betamean,endlast,amplast
1,1,0,1.81740307807922,1.90182995796204,449,2.08123326301575
1,1,0,1.39906167984009,1.53746974468231,449,1.71067762374878
1,1,1,2.08447313308716,2.11052894592285,204,2.13011002540588
1,1,2,1.93494701385498,1.99272572994232,412,2.92361426353455
1,1,1,1.65799367427826,1.75073599815369,39,3.21022033691406
1,1,0,1.57982397079468,1.67738842964172,7,3.40270471572876
1,1,1,1.53100228309631,1.72998511791229,415,2.52768468856812
1,1,2,2.37447357177734,2.39380526542664,198,3.78577828407288
1,1,1,1.76073741912842,1.84613466262817,280,2.37431144714355
1,1,4,2.31476163864136,2.31355500221252,407,2.7933177947998
1,1,4,2.14869260787964,2.16891121864319,352,3.13345050811768
1,1,0,1.74419689178467,1.7700582742691,449,1.16955935955048
1,1,1,1.70167279243469,1.80933511257172,338,2.3491473197937
1,1,3,2.03408432006836,2.06042218208313,252,3.29200553894043
1,1,2,1.87539994716644,2.00373482704163,373,1.17611038684845
1,1,2,1.96422779560089,2.2037410736084,331,2.99703764915466
1,1,0,1.76529359817505,1.69771468639374,449,1.71591520309448
1,1,0,1.68653988838196,1.77220392227173,449,1.64266669750214
1,1,2,1.6127997636795,1.83976316452026,398,3.82261514663696
1,1,4,2.04533958435059,2.17461347579956,389,2.24927258491516
1,1,5,1.9753942489624,2.31127691268921,387,3.73784160614014
1,1,3,2.01136827468872,2.17863798141479,449,2.51756405830383
1,2,4,2.08810997009277,2.16294741630554,223,2.03991651535034
1,2,6,2.18067979812622,2.2557315826416,217,2.65924215316772
1,2,3,2.05081033706665,2.11419773101807,436,3.53828883171082
1,2,2,2.0226731300354,2.01003241539001,437,2.66438412666321
1,2,6,2.43248987197876,2.60197257995605,388,2.11332678794861
1,2,2,1.78865504264832,1.82301104068756,319,2.76554417610168
1,2,3,1.9399596452713,2.15673422813416,364,2.38051056861877
1,2,1,1.88958883285522,1.86061990261078,437,1.31881260871887
1,2,1,1.70130825042725,1.83268928527832,409,2.52280616760254
1,2,4,1.85855555534363,1.90965580940247,76,3.51437878608704
1,2,6,2.23334360122681,2.46825981140137,429,3.3112108707428
1,2,2,2.27285385131836,2.23498940467834,348,2.20109510421753
1,2,3,1.61899471282959,1.85334229469299,288,1.87741148471832
1,2,2,2.29691076278687,2.23276114463806,290,1.63196575641632
1,2,2,2.08219385147095,2.25458168983459,346,2.07671928405762
1,2,5,2.04645729064941,2.2028431892395,429,1.88143730163574
1,2,0,1.64926195144653,1.73565697669983,449,2.31993627548218
1,2,1,1.89620733261108,1.95035707950592,96,2.33694529533386
1,2,5,2.58298563957214,2.62848854064941,365,3.65058565139771
1,2,0,1.35359525680542,1.35243606567383,449,1.35596227645874
1,2,6,2.7841420173645,2.60296177864075,353,2.35606408119202
1,2,4,2.11003589630127,2.25872588157654,446,2.67158317565918
1,2,8,2.63384580612183,2.60114240646362,434,2.48657894134521
1,2,1,1.58148491382599,1.67366313934326,388,1.55638563632965
1,2,2,2.0993492603302,2.04363393783569,16,3.91424703598022
1,2,4,2.32890653610229,2.54765725135803,231,4.36129474639893
1,2,1,1.58904898166656,1.72467231750488,144,2.58481907844543
1,2,2,1.867640376091,1.91767907142639,293,1.58527135848999
1,2,1,1.59971690177917,1.71668815612793,143,2.41628074645996
1,2,0,1.90440082550049,1.82974314689636,449,2.65959501266479
